epoch,lr,train_loss,val_loss,train_steer,val_steer,train_throttle,val_throttle,train_brake,val_brake,epoch_time_s
1,9.972609476841367e-05,0.18912135385390785,0.11828965123961954,0.0717389880058666,0.034198739209814984,0.12630285177793768,0.1421881063896067,0.10846188020271559,0.025993718382190254,13.398
2,9.890738003669029e-05,0.13784689942581785,0.11418176924481112,0.06346652713707751,0.03356653805274297,0.11263778981649214,0.13953335144940546,0.03612295160483983,0.0216971070450895,12.961
3,9.755282581475769e-05,0.13583732913765642,0.10857406784506406,0.06256960182347232,0.028914077590931866,0.11200858631895648,0.14038256599622614,0.03452686718406363,0.01893741440247087,12.704
4,9.567727288213003e-05,0.13531989242053694,0.10820594780585345,0.06255568879553014,0.029522406129056915,0.11196328916897376,0.13873130083084106,0.03356511770592382,0.018635777427869683,13.35
5,9.330127018922194e-05,0.13403226900845766,0.10614086161641513,0.061786824785586864,0.028222398640697494,0.11171956225815746,0.13787599346216986,0.032771328179579645,0.01796093363972271,13.47
6,9.045084971874738e-05,0.1329410665978988,0.10321689177961911,0.06097471170748273,0.026479060022050842,0.11157815179063214,0.13595484810716965,0.032354557615083955,0.017520809217410928,13.434
7,8.715724127386972e-05,0.13088875636458397,0.10356007165768567,0.05928624473098251,0.02669873959658777,0.11137285466409391,0.13676564570735483,0.03183216985780746,0.016957019839216683,13.5
8,8.345653031794292e-05,0.12927570131917795,0.10504765457966748,0.05808460034636988,0.028491959934506345,0.1103823467468222,0.13624032805947697,0.03199985597489609,0.016871062710004693,13.602
9,7.938926261462366e-05,0.129160823714402,0.09978197953280281,0.058521908345735736,0.02382035947897855,0.10939143422163194,0.13562843378852396,0.03188639568785826,0.016294812893166262,13.117
10,7.500000000000001e-05,0.12838051995883384,0.09928379602292005,0.05799720777819554,0.023377949810203386,0.10937172308978108,0.1357202319537892,0.0313949000944073,0.016091462443856633,12.748
11,7.033683215379003e-05,0.1263491524797347,0.09980718002599828,0.056131824333634645,0.02635977647322066,0.10870799101475212,0.12901191325748668,0.03172666534212314,0.01788289603941581,12.74
12,6.545084971874738e-05,0.12419395210842292,0.09730876193327062,0.05421703246732553,0.02357468137736706,0.10817737825628784,0.13049563064294703,0.031776461103517145,0.016972531948019478,12.771
13,6.039558454088797e-05,0.12240615000741349,0.09404503773240482,0.05314096720475289,0.02040051014217384,0.10719830656631125,0.1309955111321281,0.03133205871563405,0.016293547609273124,12.878
14,5.522642316338269e-05,0.12095037537316482,0.0952009322012172,0.05212124204263091,0.021294469424687764,0.1061886947395073,0.13174862984348745,0.03146957225787143,0.016064297407865524,12.748
15,5.000000000000002e-05,0.11960457782778475,0.09197380788186017,0.05089162367706498,0.019476119511048582,0.10595415791289674,0.12748574334032395,0.0314717499875567,0.017509629840359968,13.746
16,4.4773576836617344e-05,0.11802845458603567,0.09237755659748526,0.05005358260435363,0.01897278304814416,0.10499268935786353,0.13104749602430008,0.030957054489085242,0.01576204948565539,12.672
17,3.9604415459112035e-05,0.11670039501041174,0.0915453083374921,0.049308961645389594,0.017653088605798343,0.10379035636368725,0.13225951440194073,0.030992511427029967,0.015524921390940161,12.616
18,3.4549150281252636e-05,0.113919948745105,0.09091624968192157,0.046896595016328826,0.019359486725400474,0.10294956217209499,0.12645058421527638,0.031097144962081477,0.016662937972475502,12.625
19,2.9663167846209998e-05,0.1128138629719615,0.08936211642097025,0.04632339054822094,0.017737301614354637,0.10213336400273773,0.12716040541143978,0.030847579732330307,0.01608922573573449,12.591
20,2.5000000000000018e-05,0.11090795861350165,0.08908649402506211,0.0451192335329122,0.017981912940740585,0.10102824359718296,0.12563023321768818,0.030549204972986545,0.01657893355278408,12.874
21,2.0610737385376356e-05,0.10992671735584736,0.08879005821312175,0.04451828095544544,0.017872846904484666,0.1002587088280254,0.12530855045599096,0.030558164820023295,0.016525871613446402,12.668
22,1.654346968205711e-05,0.10786873795506027,0.08866684226428762,0.043441243961246476,0.01737559729200952,0.09874042796177997,0.12654620233704061,0.030114558693538938,0.01603629023713224,12.707
23,1.2842758726130297e-05,0.10755725515385468,0.08777743227341596,0.043358704903059535,0.016934698995421913,0.09809677561538087,0.12560527640230515,0.030300325093170006,0.016080183360506508,11.529
24,9.549150281252636e-06,0.10621977628519137,0.08811746187069837,0.042313002386233874,0.016828518470420557,0.09721939234683911,0.12691579671467051,0.030594154868999288,0.01566208789453787,12.306
25,6.698729810778068e-06,0.10539066046476364,0.08793985668350668,0.04157295189280477,0.01697859080398784,0.09717881648490827,0.125894472879522,0.030456600477918983,0.016028059536919874,11.629
26,4.322727117869953e-06,0.10523335397657421,0.08737378786591922,0.04159719610793723,0.01639522480614045,0.09697863087058067,0.12611117082483628,0.030293685047783785,0.01584595485645182,11.599
27,2.447174185242324e-06,0.1054162574518058,0.08708545214989606,0.04196619371780091,0.016162589959361973,0.09668286465522316,0.1259614299325382,0.03021726427444567,0.01588429685901193,11.871
28,1.092619963309716e-06,0.10476777516305447,0.08697813574005575,0.04173501539561483,0.01604084265144432,0.09590985481109884,0.12601367953945608,0.030155665092428938,0.015860908171709848,11.647
29,2.7390523158633003e-07,0.10541692107088035,0.08693864766289205,0.041993225976410836,0.016029796782223618,0.09676662501361635,0.125930014778586,0.03008076496836212,0.015887685996644637,12.56
30,0.0,0.10425279165307681,0.0869339678217383,0.040947979057414666,0.01602588824051268,0.09627281936506431,0.12593232007587657,0.030336804105900228,0.015883837771766326,12.705
